Date,Open,High,Low,Close,Adj Close,Volume
13/5/2024,266.03,268.33,265.03,266.89,264.14,2036200
10/5/2024,262.06,265.95,262.06,265.73,263,1092400
9/5/2024,258.18,262.51,258.18,262.06,259.36,923700
8/5/2024,257.78,259,255.81,258.01,255.36,1453900
7/5/2024,261.23,262.04,258.49,259.47,256.8,1356100
6/5/2024,262.84,263,260.17,260.29,257.61,929600
3/5/2024,263.5,265.57,259.85,260.65,257.97,1085100
2/5/2024,263.29,263.88,260.01,262.03,259.33,1311600
1/5/2024,261.65,263.03,259.78,260.73,258.05,901000
30/4/2024,264.84,264.97,261.66,261.78,259.09,853900
29/4/2024,266.53,268.24,263.96,265.86,263.12,786800
26/4/2024,264.13,267.45,263.31,265.84,263.1,958900
25/4/2024,263.94,265.8,262.7,265.52,262.79,876100
24/4/2024,270.51,271.33,263.58,266.07,263.33,1696600
23/4/2024,270.42,273.91,270,271.75,268.95,1187000
22/4/2024,268.67,271.94,267.02,270.15,267.37,1246600
19/4/2024,264.24,269.1,263.46,266.99,264.24,1894300
18/4/2024,264.11,265.2,262.08,263.37,260.66,1063600
17/4/2024,264.4,265.93,262.22,263.07,260.36,1371800
16/4/2024,266.58,266.85,263.16,264.94,262.21,1421100
15/4/2024,270.82,271.61,266.15,266.74,264,998900
12/4/2024,271.11,271.72,265.9,267.8,265.04,1176000
11/4/2024,270.39,273.06,269.7,272.18,269.38,1031900
10/4/2024,272.23,273.87,267.76,270.3,267.52,2603100
9/4/2024,275.03,276.55,273.6,276.37,273.53,1223800
8/4/2024,274.98,276.52,274.26,275.57,272.73,2048700
5/4/2024,275,275.95,272.16,273.52,270.71,1568900
4/4/2024,280.43,281.19,274.4,275.51,272.68,1836500
3/4/2024,276.68,279.64,275,278.49,275.62,1805800
2/4/2024,276.51,277.93,273.84,275.29,272.46,2516400
1/4/2024,284.24,287.09,279.37,280.13,277.25,2784000
28/3/2024,287.28,290.44,286.46,289.74,286.76,1650700
27/3/2024,289.81,289.81,284.3,287.88,284.92,1786500
26/3/2024,283.13,290.87,282.86,288.99,286.02,4527600
25/3/2024,280.78,283.02,277.55,282.57,279.66,3028400
22/3/2024,286,291.27,281.4,284.32,281.39,8184900
21/3/2024,259.55,265.53,259.54,264.85,262.12,4879400
20/3/2024,256.62,260.18,255.01,259.99,257.31,1890200
19/3/2024,252.93,257.27,252.51,256.62,253.98,1444300
18/3/2024,253.32,254.94,251.68,253.18,250.57,1558600
15/3/2024,252.87,255.81,252.33,253.29,250.68,3295900
14/3/2024,254.67,256.36,253.55,255.53,252.9,1333900
13/3/2024,255.55,258.18,255.16,255.22,252.59,1492300
12/3/2024,253.25,258.21,253.19,254.22,251.6,1912300
11/3/2024,247.84,253.4,247.84,252.7,250.1,1475000
8/3/2024,250.07,250.29,247.49,247.68,245.13,1117000
7/3/2024,249.71,251.17,248.99,250.24,246.42,1536600
6/3/2024,249.81,251.65,247.43,248.4,244.61,1649900
5/3/2024,245.58,248.79,245.16,248.72,244.92,1381000
4/3/2024,245.04,248.1,244.53,246.77,243,1594600
1/3/2024,248.04,249.18,245.57,246.6,242.83,1682600
29/2/2024,245.78,249.46,245.21,248.97,245.17,2789200
28/2/2024,239.33,244.52,239.07,244.37,240.64,1442600
27/2/2024,241.32,242.6,240.9,241.4,237.71,1029900
26/2/2024,241.62,243.89,240.52,241.12,237.44,1294700
23/2/2024,244.23,244.95,242.52,243.46,239.74,1128800
22/2/2024,242.14,244.3,241.58,244.16,240.43,1344900
21/2/2024,239.72,241.54,238.21,241.41,237.72,1497100
20/2/2024,236.52,239.66,235.32,239.54,235.88,1671600
16/2/2024,235.81,238.19,234.45,237.59,233.96,2112800
